Sandoval,23920,921,35.2366,-106.6191
Broome,19306,1388,42.1716,-75.8586
Tioga,5586,612,42.2149,-76.4960
Tompkins,8376,105,42.4113,-76.4883
Brunswick,4213,200,34.2830,-78.0290
Craven,4663,195,35.2155,-77.4337
Harnett,9954,674,35.3999,-78.8140
Belmont,12221,407,40.0105,-80.8814
Lorain,27329,2036,41.2665,-82.3040
Tuscarawas,9239,52,40.2761,-81.5949
Allegheny,82690,5768,40.4170,-80.0544
Beaufort,18076,608,35.3030,-76.7889
Lexington,24157,1104,37.7825,-79.4440
Campbell,8937,541,44.2752,-105.4984
Brazoria,33727,411,29.0455,-95.5673
Hays,11374,107,30.0392,-97.8915
Windsor,2660,134,43.3300,-72.5262
Chesterfield,46228,1210,37.3273,-77.3194
Spotsylvania,13144,186,38.3036,-77.7276
Klickitat,1212,164,45.6599,-120.9698
Winnebago,58171,1646,44.0391,-88.7378
Garland,6998,30,34.4269,-93.0887
Saline,28955,207,40.4809,-96.9646
San Bernardino,153673,6350,34.0714,-117.6981
Santa Barbara,53168,467,34.4382,-119.6286
Garfield,7106,175,46.4737,-117.5967
Baker,2919,287,30.2752,-82.1603
Citrus,5970,593,28.8006,-82.3372
Clarke,19268,1284,39.0933,-78.0601
Clayton,48326,1867,33.4773,-84.3600
Dougherty,92735,6989,31.4756,-84.1010
Newton,23728,968,30.8502,-93.7537
Maui,6571,287,21.0704,-156.8355
Clinton,30657,1275,44.6951,-73.4563
Whiteside,5039,377,41.7173,-89.9238
Allamakee,4849,196,43.2084,-91.2960
St. Bernard,28170,1022,29.8625,-89.8877
Lincoln,77311,1764,47.3048,-117.9713
Baltimore city,165011,7739,47.3048,-117.9713
Hampden,231595,21671,42.2125,-72.6411
Plymouth,309218,18087,42.8110,-96.2666
Ottawa,25892,1140,36.9316,-94.8706
Waseca,728,1,43.8938,-93.4939
Hinds,34530,732,32.3163,-90.2124
Erie,233237,17548,43.0085,-78.6308
Putnam,86198,4050,38.4730,-81.8124
Watauga,674,1,36.2074,-81.7860
Wilson,28591,835,29.2358,-97.9636
Lucas,83189,7488,41.0176,-93.3095
Medina,13871,966,29.3532,-99.1621
Cleveland,28346,1818,35.5127,-81.6168
Kay,3015,348,36.6788,-97.3281
Payne,2523,40,36.2313,-96.9302
Yamhill,2894,398,45.2110,-123.1918
Lehigh,168161,6164,40.5165,-75.5545
Luzerne,127114,5148,41.2867,-75.8967
Anderson,14661,547,32.0561,-95.5043
Greenville,49772,1925,34.8821,-82.3336
Horry,15082,957,33.6092,-78.9772
Denton,52575,1316,33.1330,-97.3014
Utah,63126,500,40.0054,-111.7474
Lewis,3412,212,46.7225,-122.9695
Fairbanks North Star Borough,5143,115,46.7225,-122.9695
Cleburne,5745,308,33.7297,-85.4312
Desha,856,1,33.6279,-91.3952
Nevada,2666,62,39.3718,-121.1060
Escambia,33655,1001,30.4158,-87.3028
Hall,145929,2861,34.5470,-100.4400
Paulding,12372,462,33.8771,-84.7710
Troup,9766,333,33.1674,-84.9027
Peoria,6534,247,40.9350,-89.7547
Will,186908,9967,41.4399,-87.6231
Bartholomew,17324,1239,39.2094,-85.9183
Ascension,38548,2386,30.1828,-90.8674
Frederick,71838,3623,39.0902,-78.2230
Talbot,4231,125,32.5789,-84.5516
Benton,54330,3196,46.2826,-119.2937
Blue Earth,3681,11,43.9626,-94.1666
Hancock,27311,1820,40.6179,-80.5999
Hunterdon,38647,2033,40.6159,-74.7720
Somerset,206005,15786,40.5361,-74.5745
Allegany,8579,494,42.3193,-77.7386
Onondaga,67325,3410,43.0409,-76.1438
Ontario,6816,356,42.8095,-77.2582
Durham,47889,1391,36.0418,-78.8091
Geauga,10000,948,41.4318,-81.3351
Canadian,5871,167,35.6014,-98.1247
Sevier,5862,120,35.8873,-83.5678
Bowie,6627,509,33.5076,-94.6167
Matagorda,3817,257,28.8727,-96.2172
Tooele,4309,1,40.4496,-112.3672
Wasatch,10445,57,40.4733,-111.2533
Stafford,19704,142,38.4597,-77.3806
York,73070,1544,40.7795,-97.8114
Outagamie,5815,202,44.4449,-88.5768
Wood,13744,1607,44.6057,-89.8549
Madison,128143,6675,30.4716,-83.4130
Ketchikan Gateway Borough,1095,1,30.4716,-83.4130
Navajo,54771,1777,33.9965,-109.9593
Kern,67390,886,35.6411,-118.4047
Monterey,15321,356,36.6247,-121.6465
Sussex,197981,10144,38.4603,-75.0542
Brevard,17294,481,28.6928,-80.8468
Richmond,35587,1032,34.9386,-79.7608
Whitfield,8456,302,34.8497,-85.0395
Hawaii,4038,1,20.0397,-155.3696
Adair,9316,775,41.2900,-94.5601
Black Hawk,60148,1097,42.4920,-92.3522
Ford,48853,126,40.5709,-88.2471
Lyon,18262,262,39.2639,-119.6356
East Baton Rouge,135049,8748,30.5467,-91.1225
Kennebec,5996,357,44.1910,-69.7921
Oxford,1137,1,44.2190,-70.5113
Otsego,8583,710,42.7978,-74.7506
Martin,24377,730,27.2161,-80.2400
Nicollet,1690,165,44.3296,-93.9659
Cole,3184,62,38.5157,-92.0647
Sarpy,13473,66,41.0718,-95.9255
Gloucester,81895,4107,39.7458,-75.3117
Warren,120203,6817,40.6774,-75.1558
Taos,1262,1,36.7041,-105.4064
Rensselaer,18773,1213,42.5332,-73.7493
Wyoming,5146,335,37.6927,-81.6324
Iredell,8498,219,35.6871,-80.8832
Sampson,9296,48,34.7859,-78.3947
Burleigh,5608,2,46.8140,-100.7695
Coshocton,1253,2,40.2618,-81.8480
Darke,5520,805,40.1157,-84.4966
Mahoning,55403,5934,40.9042,-80.9524
Pawnee,1834,128,40.2428,-96.4074
Lane,3402,122,38.4811,-100.4664
Beaver,24604,3225,40.7355,-80.3091
Calhoun,32051,1539,38.9204,-81.0934
Richland,70435,2574,43.1857,-90.2012
Brazos,15879,956,30.5852,-96.2960
Ellis,10973,464,32.3140,-97.0053
Lubbock,31105,2326,33.6901,-101.9893
Charlottesville city,3749,112,33.6901,-101.9893
Goochland,4210,212,37.6973,-77.8944
Henrico,57662,5393,37.6133,-77.4768
Williamsburg city,1800,135,37.6133,-77.4768
Mason,5326,39,47.3475,-123.0952
Kenosha,34159,773,42.5707,-88.1044
Laramie,8562,67,41.1405,-104.7927
Park,1382,1,44.5212,-109.0550
Talladega,3942,109,33.3891,-86.0361
Kenai Peninsula Borough,1413,29,33.3891,-86.0361
Coconino,37073,2848,36.5920,-111.1071
Bradley,4570,96,35.1097,-84.9097
Faulkner,4999,135,35.2289,-92.3836
Mendocino,814,1,39.4429,-123.3963
Yuma,16631,213,39.7029,-102.2938
Leon,14703,218,30.4551,-84.2527
Sumter,54855,3249,28.6335,-81.9986
Walton,11415,489,30.9746,-86.3099
Houston,23103,995,31.3177,-95.4564
Twin Falls,13561,711,42.5313,-114.3012
Kankakee,34073,1779,41.1450,-88.0539
Kendall,23713,693,29.7844,-98.7289
LaSalle,6299,284,41.1242,-88.8295
Jennings,5492,268,38.9853,-85.6106
Winneshiek,917,1,43.1014,-92.0463
Leavenworth,34061,267,39.1084,-95.0829
Kenton,19080,1291,38.9949,-84.6017
Penobscot,4310,22,44.7835,-68.7352
Rice,8145,71,44.4551,-93.1697
Bolivar,6533,446,34.0900,-90.7206
Coahoma,4329,149,34.3222,-90.4542
DeSoto,23219,560,27.2214,-81.8587
Perry,12440,212,35.7507,-87.7958
St. Louis city,75262,4150,35.7507,-87.7958
Belknap,2478,2,43.4430,-71.5937
Merrimack,11723,413,43.2232,-71.7129
Atlantic,67914,4015,39.5640,-74.5961
Chenango,5914,57,42.6240,-75.3353
