fips,county,Lat,Long
15009,Maui,21.0704,-156.8355
17027,Clinton,38.607,-89.6844
17195,Whiteside,41.7173,-89.9238
17201,Winnebago,42.45,-89.0631
18057,Hamilton,39.9658,-86.1461
19005,Allamakee,43.2084,-91.296
19153,Polk,41.6776,-93.7946
21049,Clark,38.0017,-84.1908
22087,St. Bernard,29.8625,-89.8877
24510,Baltimore,39.3051,-76.6144
24027,Howard,39.1941,-76.7427
25013,Hampden,42.2125,-72.6411
25023,Plymouth,42.2121,-70.7652
26139,Ottawa,43.0553,-86.2201
27161,Waseca,43.8938,-93.4939
27163,Washington,45.0598,-92.9777
28049,Hinds|Madison,32.3163,-90.2124
33011,Hillsborough,43.001,-71.5171
36029,Erie,43.0085,-78.6308
36039,Greene,42.1773,-74.0229
36057,Montgomery,42.942,-74.1907
36079,Putnam,41.4228,-73.6069
37189,Watauga,36.2074,-81.786
37195,Wilson,35.6055,-77.82
39095,Lucas,41.4906,-83.8747
39103,Medina,41.0349,-82.0123
40027,Cleveland,35.2335,-97.3471
40071,Kay,36.6788,-97.3281
40119,Payne,36.2313,-96.9302
41071,Yamhill,45.211,-123.1918
42077,Lehigh,40.5165,-75.5545
42079,Luzerne,41.2867,-75.8967
45007,Anderson,34.6433,-82.4588
45045,Greenville,34.8821,-82.3336
45051,Horry,33.6092,-78.9772
48121,Denton,33.133,-97.3014
49049,Utah,40.0054,-111.7474
53041,Lewis,46.7225,-122.9695
53043,Lincoln,47.3048,-117.9713
2090,Fairbanks North Star,64.9061,-147.6957
5023,Cleburne,35.5672,-92.1689
5025,Cleveland,33.7565,-92.2401
5041,Desha,33.6279,-91.3952
5079,Lincoln,34.0789,-91.698
6057,Nevada,39.3718,-121.106
12033,Escambia,30.4158,-87.3028
12069,Lake,29.1635,-81.5349
13117,Forsyth,34.2064,-84.1337
13139,Hall|Banks,34.3956,-83.6655
13223,Paulding,33.8771,-84.771
13285,Troup,33.1674,-84.9027
17143,Peoria,40.935,-89.7547
17197,Will,41.4399,-87.6231
18005,Bartholomew,39.2094,-85.9183
18043,Floyd,38.3513,-85.9372
22005,Ascension,30.1828,-90.8674
24021,Frederick,39.3237,-77.3411
24041,Talbot,38.7884,-76.2243
27009,Benton,45.7525,-94.2317
27013,Blue Earth,43.9626,-94.1666
28045,Hancock,30.3791,-89.3707
28095,Monroe,33.746,-88.4095
29037,Cass,38.7306,-94.4736
33003,Carroll,44.0524,-71.1247
34019,Hunterdon,40.6159,-74.772
34035,Somerset,40.5361,-74.5745
36003,Allegany,42.3193,-77.7386
36067,Onondaga,43.0409,-76.1438
36069,Ontario,42.8095,-77.2582
37063,Durham,36.0418,-78.8091
39055,Geauga,41.4318,-81.3351
40017,Canadian,35.6014,-98.1247
41003,Benton,44.3307,-123.3625
45039,Fairfield,34.3718,-81.0907
47155,Sevier,35.8873,-83.5678
48037,Bowie,33.5076,-94.6167
48321,Matagorda,28.8727,-96.2172
49045,Tooele,40.4496,-112.3672
49051,Wasatch,40.4733,-111.2533
50017,Orange,44.1538,-72.0617
51179,Stafford,38.4597,-77.3806
51199,York,37.2352,-76.5146
55087,Outagamie,44.4449,-88.5768
55141,Wood,44.6057,-89.8549
1089,Madison,34.8491,-86.5222
1115,St. Clair,33.5609,-86.2668
2130,Ketchikan Gateway,55.3232,-131.5891
4017,Navajo,33.9965,-109.9593
6029,Kern,35.6411,-118.4047
6053,Monterey,36.6247,-121.6465
10005,Sussex,38.4603,-75.0542
12009,Brevard,28.6928,-80.8468
12105,Polk,27.8868,-81.8213
13245,Richmond,33.2906,-82.0994
13313,Whitfield,34.8497,-85.0395
15001,Hawaii,20.0397,-155.3696
16065,Madison,43.8222,-111.7924
18047,Franklin,39.4233,-85.0114
18089,Lake,41.443,-87.4702
19001,Adair,41.29,-94.5601
19013,Black Hawk,42.492,-92.3522
20045,Douglas,38.9344,-95.0956
20057,Ford,37.7304,-99.937
21143,Lyon,37.0759,-88.0769
22033,East Baton Rouge,30.5467,-91.1225
22117,Washington,30.8479,-90.1459
23011,Kennebec,44.191,-69.7921
23017,Oxford,44.219,-70.5113
23031,York,43.4244,-70.7573
26075,Jackson,42.1762,-84.6456
26137,Otsego,45.1436,-84.6639
27091,Martin,43.6441,-94.4621
27103,Nicollet,44.3296,-93.9659
28047,Harrison,30.4422,-88.9512
28059,Jackson,30.5905,-88.4846
29019,Boone,39.2105,-92.1342
29051,Cole,38.5157,-92.0647
29095,Jackson,39.1363,-94.1307
31107,Knox,42.8386,-97.8495
31153,Sarpy,41.0718,-95.9255
34015,Gloucester,39.7458,-75.3117
34041,Warren,40.6774,-75.1558
35055,Taos,36.7041,-105.4064
36019,Clinton,44.6951,-73.4563
36083,Rensselaer,42.5332,-73.7493
36105,Sullivan,41.7962,-74.7429
36121,Wyoming,42.6312,-78.0525
37097,Iredell,35.6871,-80.8832
37163,Sampson,34.7859,-78.3947
38015,Burleigh,46.814,-100.7695
38017,Cass,47.0065,-97.2241
